DEBUG: args.model_name = 'bert-base-multilingual-cased'
DEBUG: is None? False
DEBUG: type = <class 'str'>
{'loss': 0.0146, 'learning_rate': 1.1534988713318284e-05, 'epoch': 1.69}
{'loss': 0.0135, 'learning_rate': 1.1393905191873591e-05, 'epoch': 1.72}
{'loss': 0.0153, 'learning_rate': 1.1252821670428894e-05, 'epoch': 1.75}
{'loss': 0.0082, 'learning_rate': 1.11117381489842e-05, 'epoch': 1.78}
{'loss': 0.0097, 'learning_rate': 1.0970654627539505e-05, 'epoch': 1.81}
{'loss': 0.0102, 'learning_rate': 1.082957110609481e-05, 'epoch': 1.83}
{'loss': 0.01, 'learning_rate': 1.0688487584650113e-05, 'epoch': 1.86}
{'loss': 0.0125, 'learning_rate': 1.0547404063205418e-05, 'epoch': 1.89}
{'loss': 0.0199, 'learning_rate': 1.0406320541760723e-05, 'epoch': 1.92}
{'loss': 0.0183, 'learning_rate': 1.0265237020316028e-05, 'epoch': 1.95}
{'loss': 0.0176, 'learning_rate': 1.0124153498871332e-05, 'epoch': 1.98}
{'eval_loss': 0.06631451100111008, 'eval_precision': 0.8301369863013699, 'eval_recall': 0.7994722955145118, 'eval_f1': 0.8145161290322581, 'eval_runtime': 1.5962, 'eval_samples_per_second': 353.342, 'eval_steps_per_second': 22.554, 'epoch': 2.0}
{'loss': 0.0183, 'learning_rate': 9.983069977426637e-06, 'epoch': 2.0}
{'loss': 0.0084, 'learning_rate': 9.841986455981942e-06, 'epoch': 2.03}
{'loss': 0.0093, 'learning_rate': 9.700902934537245e-06, 'epoch': 2.06}
{'loss': 0.0029, 'learning_rate': 9.559819413092552e-06, 'epoch': 2.09}
{'loss': 0.0066, 'learning_rate': 9.418735891647857e-06, 'epoch': 2.12}
{'loss': 0.0025, 'learning_rate': 9.27765237020316e-06, 'epoch': 2.14}
{'loss': 0.0056, 'learning_rate': 9.136568848758466e-06, 'epoch': 2.17}
{'loss': 0.0053, 'learning_rate': 8.995485327313771e-06, 'epoch': 2.2}
{'loss': 0.0048, 'learning_rate': 8.854401805869074e-06, 'epoch': 2.23}
{'loss': 0.0053, 'learning_rate': 8.71331828442438e-06, 'epoch': 2.26}
{'loss': 0.0053, 'learning_rate': 8.572234762979685e-06, 'epoch': 2.29}
{'loss': 0.0053, 'learning_rate': 8.43115124153499e-06, 'epoch': 2.31}
{'loss': 0.0079, 'learning_rate': 8.290067720090295e-06, 'epoch': 2.34}
{'loss': 0.0049, 'learning_rate': 8.148984198645598e-06, 'epoch': 2.37}
{'loss': 0.0093, 'learning_rate': 8.007900677200903e-06, 'epoch': 2.4}
{'loss': 0.0075, 'learning_rate': 7.866817155756208e-06, 'epoch': 2.43}
{'loss': 0.0068, 'learning_rate': 7.725733634311514e-06, 'epoch': 2.45}
