{'loss': 0.0091, 'learning_rate': 3.258928571428572e-06, 'epoch': 3.35}
{'loss': 0.0097, 'learning_rate': 3.099489795918368e-06, 'epoch': 3.38}
{'loss': 0.0095, 'learning_rate': 2.9400510204081634e-06, 'epoch': 3.41}
{'loss': 0.0111, 'learning_rate': 2.7806122448979596e-06, 'epoch': 3.44}
{'loss': 0.0106, 'learning_rate': 2.6211734693877554e-06, 'epoch': 3.48}
{'loss': 0.015, 'learning_rate': 2.461734693877551e-06, 'epoch': 3.51}
{'loss': 0.0222, 'learning_rate': 2.302295918367347e-06, 'epoch': 3.54}
{'loss': 0.0052, 'learning_rate': 2.1428571428571427e-06, 'epoch': 3.57}
{'loss': 0.0068, 'learning_rate': 1.983418367346939e-06, 'epoch': 3.6}
{'loss': 0.0096, 'learning_rate': 1.8239795918367347e-06, 'epoch': 3.64}
{'loss': 0.0131, 'learning_rate': 1.664540816326531e-06, 'epoch': 3.67}
{'loss': 0.0062, 'learning_rate': 1.5051020408163267e-06, 'epoch': 3.7}
{'loss': 0.012, 'learning_rate': 1.3456632653061225e-06, 'epoch': 3.73}
{'loss': 0.0111, 'learning_rate': 1.1862244897959185e-06, 'epoch': 3.76}
{'loss': 0.0109, 'learning_rate': 1.0267857142857143e-06, 'epoch': 3.79}
{'loss': 0.0128, 'learning_rate': 8.673469387755103e-07, 'epoch': 3.83}
{'loss': 0.005, 'learning_rate': 7.079081632653062e-07, 'epoch': 3.86}
{'loss': 0.0075, 'learning_rate': 5.484693877551021e-07, 'epoch': 3.89}
{'loss': 0.0043, 'learning_rate': 3.89030612244898e-07, 'epoch': 3.92}
{'loss': 0.008, 'learning_rate': 2.295918367346939e-07, 'epoch': 3.95}
{'loss': 0.0047, 'learning_rate': 7.01530612244898e-08, 'epoch': 3.99}
{'eval_loss': 0.05535849183797836, 'eval_precision': 0.8715846994535519, 'eval_recall': 0.841688654353562, 'eval_f1': 0.8563758389261745, 'eval_runtime': 0.9334, 'eval_samples_per_second': 604.23, 'eval_steps_per_second': 38.568, 'epoch': 4.0}
{'train_runtime': 521.8946, 'train_samples_per_second': 96.134, 'train_steps_per_second': 12.018, 'train_loss': 0.03086590748731693, 'epoch': 4.0}
Training complete.
Best checkpoint: /home/onok/NLP-Project/outputs/english_to_danish_xlmr_zero_shot/checkpoint-6272
Dev metrics written to: /home/onok/NLP-Project/outputs/english_to_danish_xlmr_zero_shot/dev_metrics.json
Dev predictions written to: /home/onok/NLP-Project/outputs/english_to_danish_xlmr_zero_shot/dev_predictions.iob2
Test predictions written to: /home/onok/NLP-Project/outputs/english_to_danish_xlmr_zero_shot/test_predictions.iob2
Evaluate dev file with: python span_f1.py /home/onok/NLP-Project/Datasets/Danish/da_ddt-ud-dev.iob2 <dev_predictions.iob2>
