DEBUG: args.model_name = 'bert-base-multilingual-cased'
DEBUG: is None? False
DEBUG: type = <class 'str'>
{'loss': 0.0071, 'learning_rate': 5.331632653061225e-06, 'epoch': 2.93}
{'loss': 0.0133, 'learning_rate': 5.17219387755102e-06, 'epoch': 2.97}
{'loss': 0.0096, 'learning_rate': 5.012755102040817e-06, 'epoch': 3.0}
{'eval_loss': 0.055889759212732315, 'eval_precision': 0.8267716535433071, 'eval_recall': 0.8311345646437994, 'eval_f1': 0.8289473684210527, 'eval_runtime': 1.5964, 'eval_samples_per_second': 353.301, 'eval_steps_per_second': 22.551, 'epoch': 3.0}
{'loss': 0.0034, 'learning_rate': 4.853316326530613e-06, 'epoch': 3.03}
{'loss': 0.0057, 'learning_rate': 4.693877551020409e-06, 'epoch': 3.06}
{'loss': 0.0094, 'learning_rate': 4.534438775510204e-06, 'epoch': 3.09}
{'loss': 0.0091, 'learning_rate': 4.3750000000000005e-06, 'epoch': 3.12}
{'loss': 0.0082, 'learning_rate': 4.215561224489797e-06, 'epoch': 3.16}
{'loss': 0.0026, 'learning_rate': 4.056122448979592e-06, 'epoch': 3.19}
{'loss': 0.0055, 'learning_rate': 3.896683673469388e-06, 'epoch': 3.22}
{'loss': 0.0047, 'learning_rate': 3.737244897959184e-06, 'epoch': 3.25}
{'loss': 0.0031, 'learning_rate': 3.57780612244898e-06, 'epoch': 3.28}
{'loss': 0.009, 'learning_rate': 3.4183673469387756e-06, 'epoch': 3.32}
{'loss': 0.0049, 'learning_rate': 3.258928571428572e-06, 'epoch': 3.35}
{'loss': 0.0086, 'learning_rate': 3.099489795918368e-06, 'epoch': 3.38}
{'loss': 0.0043, 'learning_rate': 2.9400510204081634e-06, 'epoch': 3.41}
{'loss': 0.0051, 'learning_rate': 2.7806122448979596e-06, 'epoch': 3.44}
{'loss': 0.005, 'learning_rate': 2.6211734693877554e-06, 'epoch': 3.48}
{'loss': 0.0103, 'learning_rate': 2.461734693877551e-06, 'epoch': 3.51}
{'loss': 0.0038, 'learning_rate': 2.302295918367347e-06, 'epoch': 3.54}
{'loss': 0.0063, 'learning_rate': 2.1428571428571427e-06, 'epoch': 3.57}
{'loss': 0.004, 'learning_rate': 1.983418367346939e-06, 'epoch': 3.6}
{'loss': 0.008, 'learning_rate': 1.8239795918367347e-06, 'epoch': 3.64}
{'loss': 0.0055, 'learning_rate': 1.664540816326531e-06, 'epoch': 3.67}
{'loss': 0.0047, 'learning_rate': 1.5051020408163267e-06, 'epoch': 3.7}
{'loss': 0.0055, 'learning_rate': 1.3456632653061225e-06, 'epoch': 3.73}
{'loss': 0.0081, 'learning_rate': 1.1862244897959185e-06, 'epoch': 3.76}
{'loss': 0.0031, 'learning_rate': 1.0267857142857143e-06, 'epoch': 3.79}
{'loss': 0.0114, 'learning_rate': 8.673469387755103e-07, 'epoch': 3.83}
{'loss': 0.0029, 'learning_rate': 7.079081632653062e-07, 'epoch': 3.86}
{'loss': 0.0044, 'learning_rate': 5.484693877551021e-07, 'epoch': 3.89}
{'loss': 0.002, 'learning_rate': 3.89030612244898e-07, 'epoch': 3.92}
{'loss': 0.0042, 'learning_rate': 2.295918367346939e-07, 'epoch': 3.95}
{'loss': 0.0033, 'learning_rate': 7.01530612244898e-08, 'epoch': 3.99}
{'eval_loss': 0.06236771494150162, 'eval_precision': 0.8328912466843501, 'eval_recall': 0.8284960422163589, 'eval_f1': 0.8306878306878307, 'eval_runtime': 1.5954, 'eval_samples_per_second': 353.506, 'eval_steps_per_second': 22.564, 'epoch': 4.0}
{'train_runtime': 784.0187, 'train_samples_per_second': 63.993, 'train_steps_per_second': 8.0, 'train_loss': 0.025772108284195846, 'epoch': 4.0}
Training complete.
Best checkpoint: outputs/english_to_danish_mbert_zero_shot_2seed/checkpoint-3136
Dev metrics written to: outputs/english_to_danish_mbert_zero_shot_2seed/dev_metrics.json
Dev predictions written to: outputs/english_to_danish_mbert_zero_shot_2seed/dev_predictions.iob2
Test predictions written to: outputs/english_to_danish_mbert_zero_shot_2seed/test_predictions.iob2
Evaluate dev file with: python span_f1.py /home/onok/NLP-Project/Datasets/Danish/da_ddt-ud-dev.iob2 <dev_predictions.iob2>
