{'loss': 0.0138, 'learning_rate': 7.88265306122449e-06, 'epoch': 2.42}
{'loss': 0.0097, 'learning_rate': 7.723214285714287e-06, 'epoch': 2.46}
{'loss': 0.0103, 'learning_rate': 7.563775510204082e-06, 'epoch': 2.49}
{'loss': 0.0079, 'learning_rate': 7.404336734693878e-06, 'epoch': 2.52}
{'loss': 0.0069, 'learning_rate': 7.244897959183675e-06, 'epoch': 2.55}
{'loss': 0.011, 'learning_rate': 7.08545918367347e-06, 'epoch': 2.58}
{'loss': 0.0063, 'learning_rate': 6.926020408163265e-06, 'epoch': 2.61}
{'loss': 0.0128, 'learning_rate': 6.766581632653062e-06, 'epoch': 2.65}
{'loss': 0.0115, 'learning_rate': 6.607142857142858e-06, 'epoch': 2.68}
{'loss': 0.0134, 'learning_rate': 6.447704081632653e-06, 'epoch': 2.71}
{'loss': 0.0103, 'learning_rate': 6.288265306122449e-06, 'epoch': 2.74}
{'loss': 0.0102, 'learning_rate': 6.1288265306122456e-06, 'epoch': 2.77}
{'loss': 0.0163, 'learning_rate': 5.969387755102042e-06, 'epoch': 2.81}
{'loss': 0.0091, 'learning_rate': 5.809948979591837e-06, 'epoch': 2.84}
{'loss': 0.0131, 'learning_rate': 5.6505102040816325e-06, 'epoch': 2.87}
{'loss': 0.0115, 'learning_rate': 5.4910714285714295e-06, 'epoch': 2.9}
{'loss': 0.0049, 'learning_rate': 5.331632653061225e-06, 'epoch': 2.93}
{'loss': 0.0136, 'learning_rate': 5.17219387755102e-06, 'epoch': 2.97}
{'loss': 0.0096, 'learning_rate': 5.012755102040817e-06, 'epoch': 3.0}
{'eval_loss': 0.08600608259439468, 'eval_precision': 0.797071129707113, 'eval_recall': 0.7888198757763976, 'eval_f1': 0.7929240374609782, 'eval_runtime': 2.5493, 'eval_samples_per_second': 784.926, 'eval_steps_per_second': 49.426, 'epoch': 3.0}
{'loss': 0.0032, 'learning_rate': 4.853316326530613e-06, 'epoch': 3.03}
{'loss': 0.007, 'learning_rate': 4.693877551020409e-06, 'epoch': 3.06}
{'loss': 0.0054, 'learning_rate': 4.534438775510204e-06, 'epoch': 3.09}
{'loss': 0.0087, 'learning_rate': 4.3750000000000005e-06, 'epoch': 3.12}
{'loss': 0.0061, 'learning_rate': 4.215561224489797e-06, 'epoch': 3.16}
{'loss': 0.0056, 'learning_rate': 4.056122448979592e-06, 'epoch': 3.19}
{'loss': 0.0082, 'learning_rate': 3.896683673469388e-06, 'epoch': 3.22}
{'loss': 0.0045, 'learning_rate': 3.737244897959184e-06, 'epoch': 3.25}
